#List - Latest @ 2026-07-16 09:41 (UTC-07:00),,,,,
Identifier,Location,Location Folder,Location Type,Value,Status
08NM0055,Brandt's Creek at Brant Ave,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0056,Brandt's Creek at Clement Ave,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0057,Scotty Creek at Old Vernon Road,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0058,Mill Creek at Sutherland Bridge,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0059,Mill Creek at Regional Park,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0060,Mill Creek at Fenwick Road,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0064,Mill Creek at Parkinson Recreation Centre,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0065,Shorts Creek at Fintry Bridge,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
1F01,Aberdeen Lake,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
1F01A,Aberdeen Lake,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
1F01B,Haddo Lake,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2E02,Carmi,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2E03,Big White Mountain,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2E04,Trapping Creek,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F03,McCulloch,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F03AP,McCulloch,Locations.SNOW.Snow Weather Stations,Snow Survey,Snow Survey,Snow
2F06,Bouleau Creek,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F07,Postill Lake,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F08,Greyback Reservoir,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F08P,Greyback Reservoir,Locations.SNOW.Snow Weather Stations,Snow Survey,Snow Survey,Snow
2F09,Whiterocks Mountain,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F09P,Whiterocks Mountain,Locations.SNOW.Snow Weather Stations,Snow Survey,Snow Survey,Snow
2F10,Silver Star Mountain,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F10P,Silver Star Mountain,Locations.SNOW.Snow Weather Stations,Snow Survey,Snow Survey,Snow
2F12,Mount Kobau,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F13,Esperon Creek Upper,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F14,Esperon Creek Middle,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F15,Esperon Creek Lower,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F16,Carrs Landing (Lower),Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F17,Carrs Landing (Upper),Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F19,Oyama Lake,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F19P,Oyama Lake,Locations.SNOW.Snow Weather Stations,Snow Survey,Snow Survey,Snow
2F20,Vaseux Creek,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F21,Bouleau Lake,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F22,Pearson Creek,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F24,Islaht Lake,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F25,Postill Lake Upper,Locations.SNOW.Manual Snow Sites,Snow Survey,Snow Survey,Snow
2F26P,Ellis Creek,Locations.SNOW.Snow Weather Stations,Snow Survey,Snow Survey,Snow
3ALE022,TWIG CREEK BELOW DOUGLAS LAKE ROAD CROSSING,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3ALE023,WEYMAN CREEK ABOVE BRIDGE AND DOUGLAS LAKE ROAD,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BLC008,DEAFIE CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNL002,OLALLA CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNL003,CEDAR CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM006,HOPE CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM007,NORRIS CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM008,TESTALINDEN CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
3BNM009,GREENHOW CREEK,Locations.HYDROMETRIC.Low Flow,Hydrometric,Hydrometric,Hydrometric (Other)
