label,latitude,longitude,datasource,status,welltagno,emsid,uniqueID,elevation,summary,name,x,y
OW172,50.111364,-119.356336,Active well with real-time data,Active,8596,1401123,172,409.57,Observation Well 172 was included in the network in 1972. It is located in an unconfined sand and gravel aquifer identified as Aquifer #1238 in Oyama. ,OBS WELL 172 - Oyama,-13286686.546470866,6465584.507907509
OW045,50.474341,-119.757755,Active well without real-time data,Active,19522,1401043,45,0,Observation Well 045 was included in the network in 1965. It is located in an unconfined sand and gravel aquifer identified as Aquifer #289 in Westwold. ,OBS WELL 045 - Westwold,-13331372.305145612,6528832.227971697
OW075,49.20635,-119.82532,Active well with real-time data,Active,20533,1401030,75,413.655,Observation Well 075 was included in the network in 1967. It is located in an unconfined sand and gravel aquifer identified as Aquifer #259 in Keremeos. ,OBS WELL 075 - Keremeos,-13338893.606541058,6309947.479328239
OW154,49.57765,-119.63526,Active well without real-time data,Active,22792,1400970,154,0,Observation Well 154 was included in the network in 1969. It is located in an unconfined sand and gravel aquifer identified as Aquifer #297 near Summerland. ,OBS WELL 154 - Summerland,-13317736.224120889,6373451.015696399
OW115,49.94642,-118.94698,Active well with real-time data,Active,23980,1401038,115,0,Observation Well 115 was included in the network in 1970. It is located in an unmapped bedrock aquifer near Graystokes Provincial Park.,OBS WELL 115 - Graystokes Provincial Park,-13241117.244997695,6437001.894305799
OW117,50.427103,-119.227723,Active well with real-time data,Active,24062,1400957,117,374.17,Observation Well 117 was included in the network in 1971. It is located in a confined sand and gravel aquifer identified as Aquifer #1155 near Armstrong. ,OBS WELL 117 - Armstrong,-13272369.41280147,6520573.7594875805
OW118,50.471616,-119.131593,Active well with real-time data,Active,24080,1400964,118,383.28,Observation Well 118 was included in the network in 1971. It is located in a confined sand and gravel aquifer identified as Aquifer #1155 near Armstrong. ,OBS WELL 118 - Armstrong,-13261668.270151515,6528355.600746282
OW122,50.507359,-119.129053,Active well with real-time data,Active,24093,1400962,122,369.5,Observation Well 122 was included in the network in 1971. It is located in a confined sand and gravel aquifer identified as Aquifer #1155 near Enderby. ,OBS WELL 122 - Enderby,-13261385.518644897,6534609.560312388
OW185,50.510924,-119.354275,Active well with real-time data,Active,30438,1400001,185,421.05,Observation Well 185 was included in the network in 1974. It is located in an unconfined sand and gravel aquifer identified as Aquifer #97 in the Salmon River Valley. ,OBS WELL 185 - Salmon River Valley,-13286457.117000343,6535233.588620212
OW180,50.403154,-119.216609,Active well with real-time data,Active,32340,1400951,180,420.82,Observation Well 180 was included in the network in 1972. It is located in an unconfined sand and gravel aquifer identified as Aquifer #353 near Armstrong. ,OBS WELL 180 - Armstrong,-13271132.207980797,6516389.979337188
OW203,49.17459,-119.73606,Active well with real-time data,Active,33378,1401377,203,417.739,Observation Well 203 was included in the network in 1975. It is located in an unconfined sand and gravel aquifer identified as Aquifer #259 near Cawston. ,OBS WELL 203 - Cawston,-13328957.228792852,6304537.753834102
OW236,49.879083,-119.399573,Active well with real-time data,Active,41865,1400095,236,396.9,Observation Well 236 was included in the network in 1979. It is located in a confined sand and gravel aquifer identified as Aquifer #464 near Rutland. ,OBS WELL 236 - Rutland,-13291499.667294296,6425361.420821915
OW262,49.860097,-119.421006,Active well with real-time data,Active,44358,1401808,262,427.5,Observation Well 262 was included in the network in 1980. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna. ,OBS WELL 262 - Kelowna,-13293885.57794047,6422082.266324789
OW047,50.36584,-119.08544,Active well without real-time data,Active,49951,1401050,47,1822,Observation Well 047 was included in the network in 1965. It is located in a bedrock aquifer identified as Aquifer #351 at Silver Star Mountain. ,OBS WELL 047 - Silver Star Mountain,-13256530.541692933,6509875.606107084
OW282,49.26313,-119.59171,Active well with real-time data,Active,51824,1401947,282,441.819,Observation Well 282 was included in the network in 1983. It is located in a confined sand and gravel aquifer identified as Aquifer #257 in Willowbrook. ,OBS WELL 282 - Willowbrook,-13312888.260296844,6319627.5625646105
OW294,50.219595,-119.003824,Active well with real-time data,Active,55834,E206576,294,520.81,Observation Well 294 was included in the network in 1986. It is located in an unconfined sand and gravel aquifer identified as Aquifer #316 in Lumby. ,OBS WELL 294 - Lumby,-13247445.090132348,6484393.038225512
OW306,49.438271,-119.086497,Active well with real-time data,Active,58685,E207754,306,784.715,Observation Well 306 was included in the network in 1989. It is located in an unconfined sand and gravel aquifer identified as Aquifer #482 in Beaverdell. ,OBS WELL 306 - Beaverdell,-13256648.206394698,6349556.66691955
OW311,50.320322,-119.202478,Active well without real-time data,Active,59305,E218234,311,792.33,"Observation Well 311 was included in the network in 1991, deactivated in 2001, and reactivated in 2006. It is located in a bedrock aquifer identified as Aquifer #351 near Vernon.",OBS WELL 311 - Vernon,-13269559.152256394,6501935.888971409
OW264,49.11888,-119.67838,Active well without real-time data,Active,62733,1401811,264,0,Observation Well 264 was included in the network in 1980. It is located in a bedrock aquifer identified as Aquifer #1113 near Mt. Kobau. ,OBS WELL 264 - Mt Kobau,-13322536.320563897,6295056.968624078
OW332,49.137819,-119.569162,Active well without real-time data,Active,62966,E232063,332,0,Observation Well 332 was included in the network in 1997. It is located in an unconfined sand and gravel aquifer identified as Aquifer #254 in Oliver. ,OBS WELL 332 - Oliver,-13310378.228418438,6298278.831429789
OW356,50.008442,-119.3918,Active well with real-time data,Active,81678,E255033,356,434.75,Observation Well 356 was included in the network in 2004. It is located in a confined sand and gravel aquifer identified as Aquifer #344 in Winfield. ,OBS WELL 356 - Winfield,-13290634.380892359,6447737.975084642
