Well,latitude,longitude,datasource,status,welltagno,emsid,uniqueID,elevation,summary,name,x,y
OW185,50.510924,-119.354275,Active well with real-time data,Active,30438,1400001,185,421.05,Observation Well 185 was included in the network in 1974. It is located in an unconfined sand and gravel aquifer identified as Aquifer #97 in the Salmon River Valley.,OBS WELL 185 - Salmon River Valley,-13286457.12,6535233.589
OW180,50.403154,-119.216609,Active well with real-time data,Active,32340,1400951,180,420.82,Observation Well 180 was included in the network in 1972. It is located in an unconfined sand and gravel aquifer identified as Aquifer #353 near Armstrong.,OBS WELL 180 - Armstrong,-13271132.21,6516389.979
OW203,49.17459,-119.73606,Active well with real-time data,Active,33378,1401377,203,417.739,Observation Well 203 was included in the network in 1975. It is located in an unconfined sand and gravel aquifer identified as Aquifer #259 near Cawston.,OBS WELL 203 - Cawston,-13328957.23,6304537.754
OW236,49.879083,-119.399573,Active well with real-time data,Active,41865,1400095,236,396.9,Observation Well 236 was included in the network in 1979. It is located in a confined sand and gravel aquifer identified as Aquifer #464 near Rutland.,OBS WELL 236 - Rutland,-13291499.67,6425361.421
OW262,49.860097,-119.421006,Active well with real-time data,Active,44358,1401808,262,427.5,Observation Well 262 was included in the network in 1980. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna.,OBS WELL 262 - Kelowna,-13293885.58,6422082.266
OW047,50.36584,-119.08544,Active well without real-time data,Active,49951,1401050,47,1822,Observation Well 047 was included in the network in 1965. It is located in a bedrock aquifer identified as Aquifer #351 at Silver Star Mountain.,OBS WELL 047 - Silver Star Mountain,-13256530.54,6509875.606
OW282,49.26313,-119.59171,Active well with real-time data,Active,51824,1401947,282,441.819,Observation Well 282 was included in the network in 1983. It is located in a confined sand and gravel aquifer identified as Aquifer #257 in Willowbrook.,OBS WELL 282 - Willowbrook,-13312888.26,6319627.563
OW294,50.219595,-119.003824,Active well with real-time data,Active,55834,E206576,294,520.81,Observation Well 294 was included in the network in 1986. It is located in an unconfined sand and gravel aquifer identified as Aquifer #316 in Lumby.,OBS WELL 294 - Lumby,-13247445.09,6484393.038
OW306,49.438271,-119.086497,Active well with real-time data,Active,58685,E207754,306,784.715,Observation Well 306 was included in the network in 1989. It is located in an unconfined sand and gravel aquifer identified as Aquifer #482 in Beaverdell.,OBS WELL 306 - Beaverdell,-13256648.21,6349556.667
OW311,50.320322,-119.202478,Active well without real-time data,Active,59305,E218234,311,792.33,"Observation Well 311 was included in the network in 1991, deactivated in 2001, and reactivated in 2006. It is located in a bedrock aquifer identified as Aquifer #351 near Vernon.",OBS WELL 311 - Vernon,-13269559.15,6501935.889
OW264,49.11888,-119.67838,Active well without real-time data,Active,62733,1401811,264,0,Observation Well 264 was included in the network in 1980. It is located in a bedrock aquifer identified as Aquifer #1113 near Mt. Kobau.,OBS WELL 264 - Mt Kobau,-13322536.32,6295056.969
OW332,49.137819,-119.569162,Active well without real-time data,Active,62966,E232063,332,0,Observation Well 332 was included in the network in 1997. It is located in an unconfined sand and gravel aquifer identified as Aquifer #254 in Oliver.,OBS WELL 332 - Oliver,-13310378.23,6298278.831
OW356,50.008442,-119.3918,Active well with real-time data,Active,81678,E255033,356,434.75,Observation Well 356 was included in the network in 2004. It is located in a confined sand and gravel aquifer identified as Aquifer #344 in Winfield.,OBS WELL 356 - Winfield,-13290634.38,6447737.975
OW173,50.10688,-119.36066,Inactive well,Inactive,8374,1401126,173,0,Observation Well 173 was active between 1972 and 2009. It was located in a confined sand and gravel aquifer identified as Aquifer #345 in Oyama.,OBS WELL 173 - Oyama,-13287167.89,6464806.19
OW176,50.08588,-119.37663,Inactive well,Inactive,8533,1401134,176,0,Observation Well 176 was active between 1972 and 2009. It was located in a confined sand and gravel aquifer identified as Aquifer #345 near Oyama.,OBS WELL 176 - Oyama,-13288945.66,6461162.049
OW174,50.1028,-119.36565,Inactive well,Inactive,8608,1401131,174,0,Observation Well 174 was active between 1972 and 2009. It was located in a confined sand and gravel aquifer identified as Aquifer #345 in Oyama.,OBS WELL 174 - Oyama,-13287723.38,6464098.061
OW175,50.09754,-119.36272,Inactive well,Inactive,8623,1400022,175,0,Observation Well 175 was active between 1972 and 2007. It was located in a bedrock aquifer identified as Aquifer #1022 near Oyama.,OBS WELL 175 - Oyama,-13287397.21,6463185.218
OW401,49.023341,-119.363599,Active well without real-time data,Active,102362,E283989,401,0,Observation Well 401 was included in the network in 2010. It is located in a bedrock aquifer identified as Aquifer #808 near Osoyoos.,OBS WELL 401 - Osoyoos,-13287495.06,6278822.802
OW053,50.14622,-119.40034,Inactive well,Inactive,19772,1401040,53,0,Observation Well 053 was active between 1969 and 2008. It was located in a bedrock aquifer identified as Aquifer #471 near Carrs Landing.,OBS WELL 053 - Carrs Landing,-13291585.05,6471637.183
OW076,49.20367,-119.8283,Inactive well,Inactive,22585,1401031,76,0,Observation Well 076 was active between 1969 and 2010. It was located in an unconfined sand and gravel aquifer identified as Aquifer #259 in Keremeos.,OBS WELL 076 - Keremeos,-13339225.34,6309490.857
OW077,49.20864,-119.81307,Inactive well,Inactive,22625,1401032,77,0,"Observation Well 077 was active between 1968 and 2010 (however, data is available only from 1972 to 2010). It was located in an unconfined sand and gravel aquifer identified as Aquifer #259 in Keremeos. ",OBS WELL 077 - Keremeos,-13337529.94,6310337.673
OW054,50.14502,-119.40084,Inactive well,Inactive,22692,1401041,54,0,Observation Well 054 was active between 1969 and 2008. It was located in a bedrock aquifer identified as Aquifer #471 near Carrs Landing.,OBS WELL 054 - Carrs Landing,-13291640.71,6471428.732
OW105,49.05271,-119.50467,Inactive well,Inactive,22702,1401089,105,0,Observation Well 105 was active between 1969 and 2009. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos.,OBS WELL 105 - Osoyoos,-13303199.01,6283809.915
OW387,49.66968,-119.38021,Active well with real-time data,Active,94930,E277649,387,0,Observation Well 387 was included in the network in 2008. It is located in an unmapped bedrock aquifer near Naramata.,OBS WELL 387 - Naramata,-13289344.19,6389265.546
OW107,49.0556,-119.50169,Inactive well,Inactive,22706,1401091,107,0,Observation Well 107 was active between 1969 and 2009. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos.,OBS WELL 107 - Osoyoos,-13302867.28,6284300.822
OW102,49.06118,-119.50805,Inactive well,Inactive,22713,1401086,102,0,Observation Well 102 was active between 1969 and 2008. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos.,OBS WELL 102 - Osoyoos,-13303575.27,6285248.743
OW101,49.05741,-119.51228,Inactive well,Inactive,22731,1401084,101,0,Observation Well 101 was active between 1969 and 2017. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos.,OBS WELL 101 - Osoyoos,-13304046.15,6284608.29
OW100,49.05837,-119.5106,Inactive well,Inactive,22733,1401083,100,0,Observation Well 100 was active between 1969 and 2008. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos.,OBS WELL 100 - Osoyoos,-13303859.14,6284771.372
OW096,49.02825,-119.47653,Inactive well,Inactive,22769,1401093,96,0,Observation Well 096 was active between 1969 and 2020. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos.,OBS WELL 096 - Osoyoos,-13300066.48,6279656.188
OW402,49.030404,-119.347269,Active well with real-time data,Active,102364,E283990,402,0,Observation Well 402 was included in the network in 2010. It is located in a bedrock aquifer identified as Aquifer #936 near Osoyoos.,OBS WELL 402 - Osoyoos,-13285677.21,6280021.892
OW097,49.02828,-119.47586,Inactive well,Inactive,22772,1401094,97,0,Observation Well 097 was active between 1969 and 2008. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos.,OBS WELL 097 - Osoyoos,-13299991.9,6279661.281
OW152,49.5707,-119.62876,Inactive well,Inactive,22793,1400968,152,0,"Observation Well 152 was active between 1969 and 1995 (however, data is available only from 1989 to 1995). It was located in an unconfined sand and gravel aquifer identified as Aquifer #297 in Summerland. ",OBS WELL 152 - Summerland,-13317012.65,6372257.932
OW153,49.56668,-119.62417,Inactive well,Inactive,22796,1400969,153,0,Observation Well 153 was active between 1969 and 2007. It was located in an unconfined sand and gravel aquifer identified as Aquifer #297 in Summerland.,OBS WELL 153 - Summerland,-13316501.69,6371567.91
OW158,49.57168,-119.64562,Inactive well,Inactive,22813,1400974,158,0,Observation Well 158 was active between 1969 and 2007. It was located in an unconfined sand and gravel aquifer identified as Aquifer #297 in Summerland.,OBS WELL 158 - Summerland,-13318889.49,6372426.155
OW384,50.499953,-119.211984,Active well with real-time data,Active,93924,E275523,384,503.67,Observation Well 384 was included in the network in 2008. It is located in a confined sand and gravel aquifer identified as Aquifer #102 in Hullcar.,OBS WELL 384 - Hullcar,-13270617.36,6533313.342
OW119,50.42612,-119.21713,Inactive well,Inactive,24104,1400958,119,0,Observation Well 119 was active between 1971 and 2010. It was located in a confined sand and gravel aquifer identified as Aquifer #1153 near Spallumcheen.,OBS WELL 119 - Spallumcheen,-13271190.21,6520401.992
OW162,50.06948,-119.37242,Inactive well,Inactive,26248,1401100,162,0,Observation Well 162 was active between 1972 and 2017. It was located in a bedrock aquifer identified as Aquifer #1022 near Oyama.,OBS WELL 162 - Oyama,-13288477.01,6458317.259
OW177,50.04759,-119.39849,Inactive well,Inactive,26376,1401140,177,0,"Observation Well 177 was active between 1972 and 2003 (however, data is available only from 1991 to 2003).It was located in a confined sand and gravel aquifer identified as Aquifer #344 in Lake Country. ",OBS WELL 177 - Lake Country,-13291379.11,6454521.673
OW405,49.16931,-119.5639,Active well with real-time data,Active,104536,E284852,405,315.983,Observation Well 405 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #256 in Oliver.,OBS WELL 405 - Oliver,-13309792.47,6303638.741
OW057,50.00962,-119.38561,Inactive well,Inactive,26859,1400103,57,0,Observation Well 057 was active between 1975 and 2003. It was located in a confined sand and gravel aquifer identified as Aquifer #344 in Winfield.,OBS WELL 057 - Winfield,-13289945.31,6447942.022
OW305,49.81326,-119.49466,Inactive well,Inactive,53654,E216598,305,0,Observation Well 305 was active between 1989 and 1998. It was located in an unconfined sand and gravel aquifer identified as Aquifer #462 near Kelowna.,OBS WELL 305 - Kelowna,-13302084.7,6413998.351
OW322,50.31755,-119.18881,Inactive well,Inactive,60266,E219608,322,0,Observation Well 322 was active between 1993 and 2003. It was located in a confined sand and gravel aquifer identified as Aquifer #349 near Vernon.,OBS WELL 322 - Vernon,-13268037.64,6501452.614
OW348,49.214015,-119.558074,Inactive well,Inactive,79040,,348,0,Observation Well 348 was active between 2000 and 2007. It was located in an unconfined sand and gravel aquifer identified as Aquifer #255 near Oliver.,OBS WELL 348 - Oliver,-13309143.92,6311253.59
OW366,49.58708,-119.73527,Inactive well,Inactive,85744,E261517,366,0,Observation Well 366 was active between 2005 and 2018. It was located in a confined sand and gravel aquifer identified as Aquifer #299 near Summerland.,OBS WELL 366 - Summerland,-13328869.29,6375070.104
